City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
342,badger,64.8,-147.5333,5.55,64,0,2.57,US,1696133605
343,sao felix do xingu,-6.6447,-51.995,24.86,54,40,0.33,BR,1696133987
344,barreirinha,-2.7933,-57.07,26.92,40,25,1.18,BR,1696133987
345,mongo,12.1844,18.693,25.59,69,100,1.67,TD,1696133988
346,mikuni,36.2171,136.1519,26.95,70,98,3.87,JP,1696133988
347,siwa oasis,29.2041,25.5195,22.97,63,78,2.2,EG,1696133988
348,southside,33.9245,-86.0225,21.92,91,75,1.54,US,1696133988
349,fort-shevchenko,44.5086,50.263,18.8,60,20,1.08,KZ,1696133701
350,erbil,36.1926,44.0106,23.9,41,61,2.57,IQ,1696133781
351,new plymouth,-39.0667,174.0833,12.67,81,57,7.85,NZ,1696133735
352,fort william,56.8165,-5.1121,12.95,97,100,1.62,GB,1696133989
353,umm kaddadah,13.6017,26.6876,26.98,64,100,5.27,SD,1696133989
354,galesong,-5.3166,119.3661,33.01,55,0,4.26,ID,1696133989
355,raja,8.4596,25.678,22.09,96,100,1.29,SS,1696133990
356,nova sintra,14.8667,-24.7167,23.21,81,71,6.69,CV,1696133601
357,saipan,15.1355,145.701,29.39,84,40,3.6,MP,1696133591
358,plover,44.4564,-89.544,18.94,90,99,0.89,US,1696133990
359,port augusta,-32.5,137.7667,22.8,36,0,7.03,AU,1696133673
360,auki,-8.7676,160.7034,27.91,74,100,1.97,SB,1696133991
361,lansing,42.7325,-84.5555,15.68,94,0,0.0,US,1696133642
362,kismayo,-0.3582,42.5454,25.97,78,2,6.09,SO,1696133991
363,kirensk,57.7853,108.1119,10.45,65,100,3.46,RU,1696133991
364,sisimiut,66.9395,-53.6735,0.1,68,80,4.47,GL,1696133665
